,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
409,Fat Cobra,Black Panther and the Agents of Wakanda (2019) #2,The Immortal Iron Fist (2006) #9,The Immortal Iron Fist (2006) #12,The Immortal Iron Fist (2006) #13,The Immortal Iron Fist (2006) #14,The Immortal Iron Fist (2006) #16,The Immortal Iron Fist (2006) #19,The Immortal Iron Fist (2006) #20,The Immortal Iron Fist (2006) #22,The Immortal Iron Fist (2006) #25,The Immortal Iron Fist (2006) #26,Immortal Weapons (2009) #1,Iron Fist (2017) #80,Iron Man 2.0 (2011) #6,Wolverine (2010) #18,Wolverine (2010) #18 (Mc 50th Anniversary Variant),,,,,,,,,,,,,,,,,,,
410,Felicia Hardy,Spider-Man Loves Mary Jane (2005) #17,The Amazing Spider-Man (1963) #329,The Amazing Spider-Man (1963) #359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Fenris,Journey Into Mystery (1952) #114,Marvel Masterworks: The Mighty Thor Vol. 3 (Hardcover),Secret Warriors (2009) #13,Secret Warriors (2009) #13 (DEADPOOL VARIANT),Ultimate X-Men Annual (2005) #1,What If? (1989) #46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Feral,Cable (2017) #158,X-Factor Annual (1986) #6,X-Force (1991) #1,X-Force (1991) #2,X-Force (1991) #4,X-Force Epic Collection: Under The Gun (Trade Paperback),X-Men Unlimited Infinity Comic (2021) #75,X-Men Unlimited Infinity Comic (2021) #78,X-Men Unlimited Infinity Comic (2021) #79,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Fin Fang Foom,Avengers Vs. Pet Avengers (2010) #3,Dark Ages (2021) #4,Drax (2015) #10,Drax (2015) #11,Hulk Vs. Fin Fang Foom (2007) #1,Incredible Hulks (2010) #634,Iron Man (1998) #16,Iron Man (1998) #17,Iron Man (1998) #18,Iron Man (1968) #261,Iron Man (1968) #262,Iron Man (1968) #263,Iron Man (1968) #267,Iron Man (1968) #268,Iron Man (1968) #275,Iron Man: The Dragon Seed Saga (Trade Paperback),Marauders (2019) #26,Marvel Monsters: From the Files of Ulysses Bloodstone & the Monster Hunters (2005),Monsters Unleashed (2017) #1,Monsters Unleashed (2017) #3,,,,,,,,,,,,,,,
414,Firebird,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #12,Avengers (1998) #27,Avengers (1998) #38,Avengers (1998) #40,Avengers (1998) #41,Avengers (1998) #42,Avengers (1998) #43,Avengers (1998) #44,Avengers (1998) #45,Avengers (1998) #46,Avengers (1998) #48,Avengers (1998) #49,Avengers (1998) #52,Avengers (1998) #53,Avengers (1998) #54,Avengers (1998) #55,,,,,,,,,,,,,,,
415,Firebrand,Iron Man (2012) #3,Iron Man (1998) #4,Iron Man (1998) #5,Iron Man (1998) #11,Iron Man (1968) #27,Iron Man (1968) #59,Sub-Mariner Comics (1941) #25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Firedrake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Firelord,Annihilation: Heralds of Galactus (2007) #2,Annihilation: Silver Surfer (2006) #2,Annihilation: Silver Surfer (2006) #3,Avengers (1996) #12,Avengers (1963) #260,Avengers (1963) #261,Avengers (1963) #302,Avengers (1963) #303,Avengers Annual (1967) #14,Classic X-Men (1986) #13,Doctor Strange, Sorcerer Supreme (1988) #33,Doctor Strange, Sorcerer Supreme (1988) #35,Fantastic Four (1996) #9,Fantastic Four (1996) #10,Fantastic Four (1996) #11,Fantastic Four (1996) #12,Fantastic Four (1961) #173,Guardians of the Galaxy (1990) #2,Guardians of the Galaxy (1990) #3,Guardians of the Galaxy (1990) #4,,,,,,,,,,,,,
418,Firestar,Alpha Flight (1983) #127,The Amazing Spider-Man (1963) #379,The Amazing Spider-Man (1963) #380,Amazing Spider-Man (1999) #666,Amazing Spider-Man (1999) #667,Amazing Spider-Man (1999) #668,Amazing X-Men (2013) #1,Amazing X-Men (2013) #2,Amazing X-Men (2013) #3,Amazing X-Men (2013) #4,Amazing X-Men (2013) #5,Amazing X-Men (2013) #6,Amazing X-Men (2013) #14,Amazing X-Men (2013) #19,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #7,Avengers (1998) #8,,,,,,,,,,,,,,,
419,Firestar (Ultimate),Ultimate Comics X (2010) #4,Ultimate Comics X (2010) #5,Ultimate Fantastic Four/Ultimate X-Men Annual (2008) #1,Ultimate Spider-Man (2000) #118,Ultimate X-Men/Ultimate Fantastic Four Annual (2008) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Fixer (Paul Norbert Ebersol),Captain America (2004) #606 (HEROIC AGE VARIANT),Marvel Two-in-One (1974) #26,Thunderbolts (1997) #54,Thunderbolts (2006) #155,Thunderbolts (2006) #155 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Thunderbolts (2006) #156,Thunderbolts (2006) #163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Flatman,Deadpool (1997) #10,Deadpool (1997) #11,G.L.a. (2005) #1,Great Lakes Avengers (2016) #1,Great Lakes Avengers (2016) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Flying Dutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Foggy Nelson,Avengers (1998) #26,Avengers Assemble Vol. 3 (Hardcover),Black Panther: The Man Without Fear (2010) #523,Daredevil (1964) #-1,Daredevil (2014) #0.1,Daredevil (1998) #1,Daredevil (2014) #1,Daredevil (2014) #2,Daredevil (1998) #2,Daredevil (2014) #3,Daredevil (1998) #3,Daredevil (2014) #4,Daredevil (1998) #9,Daredevil (1998) #11,Daredevil (1998) #13,Daredevil (1998) #14,Daredevil (2011) #21,Daredevil (2011) #22,Daredevil (2011) #23,Daredevil (2011) #24,,,,,,,,,,,,,,,
424,Force Works,Force Works (1994) #1,Force Works (1994) #2,Force Works (1994) #3,Force Works (1994) #4,Force Works (1994) #5,Force Works (1994) #6,Force Works (1994) #7,Force Works (1994) #8,Force Works (1994) #9,Force Works (1994) #10,Force Works (1994) #11,Force Works (1994) #12,Force Works (1994) #13,Force Works (1994) #14,Force Works (1994) #15,Force Works (1994) #18,Force Works (1994) #20,Force Works (1994) #21,Force Works (1994) #22,Iron Man (1968) #311,,,,,,,,,,,,,,,
425,Forearm,Excalibur (1988) #104,Excalibur (1988) #105,Uncanny X-Men (1963) #295,Wolverine (1988) #167,Wolverine: The Best There Is (Trade Paperback),X-Factor (1986) #77,X-Factor (1986) #78,X-Factor (1986) #85,X-Factor Visionaries: Peter David Vol. 2 (Trade Paperback),X-FACTOR VISIONARIES: PETER DAVID VOL. 4 TPB (Trade Paperback),X-Force (1991) #1,X-Force (1991) #9,X-Force (1991) #10,X-Force (1991) #16,X-Force (1991) #26,X-Force (1991) #27,X-Force (1991) #28,X-Force (1991) #29,X-Force (1991) #43,X-Force (1991) #67,,,,,,,,,,,,,,,
426,Forge,Alpha Flight (1983) #88,Alpha Flight (1983) #89,Alpha Flight (1983) #90,Bishop: The Last X-Man (1999) #16,Cable (2008) #6,Cable and X-Force (2012) #1,Cable and X-Force (2012) #2,Cable and X-Force (2012) #3,Cable and X-Force (2012) #4,Cable and X-Force (2012) #5,Cable and X-Force (2012) #6,Cable and X-Force (2012) #7,Cable and X-Force (2012) #8,Cable and X-Force (2012) #9,Cable and X-Force (2012) #10,CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Doctor Strange, Sorcerer Supreme (1988) #69,Essential X-Men Vol. 5 (All-New Edition) (Trade Paperback),Excalibur (1988) #79,Extraordinary X-Men (2015) #18,,,,,,,,,,,,,,
427,Forge (Ultimate),Ultimate X-Men (2001) #27,Ultimate X-Men (2001) #30,Ultimate X-Men (2001) #62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Forgotten One,Annihilation: Silver Surfer (2006) #3,Avengers (1963) #300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Frank Castle,Age of X: Universe (2011) #1,Age of X: Universe (2011) #2,Captain America (2002) #19,Captain America (2002) #20,Cosmic Ghost Rider (2018) #1,Cosmic Ghost Rider (2018) #3,Dark Wolverine (2009) #75,Dark Wolverine (2009) #76,Dark Wolverine (2009) #77,Dark Wolverine (2009) #78,Dark Wolverine (2009) #79,Dark Wolverine (2009) #80,Dark Wolverine (2009) #81,Punisher: The Platoon (Trade Paperback),Punisher Invades The 'Nam (Trade Paperback),Punisher: Shadowmasters (Trade Paperback),Punisher: The Platoon (2017) #3,Punisher: The Platoon (2017) #6,The 'NAM (1986) #52,The 'NAM (1986) #53,,,,,,,,,,,,,,,
430,Frankenstein's Monster,Fear Itself: Fearsome Four (2011) #1,Fear Itself: Fearsome Four (2011) #2,Fear Itself: Fearsome Four (2011) #3,Fear Itself: Fearsome Four (2011) #4,Frankenstein (1973) #1,Frankenstein (1973) #2,Frankenstein (1973) #3,Frankenstein (1973) #4,Frankenstein (1973) #5,Frankenstein (1973) #6,Frankenstein (1973) #7,Frankenstein (1973) #8,Frankenstein (1973) #9,Frankenstein (1973) #10,Frankenstein (1973) #11,Frankenstein (1973) #12,Frankenstein (1973) #13,Frankenstein (1973) #14,Frankenstein (1973) #15,Frankenstein (1973) #16,,,,,,,,,,,,,,,
431,Franklin Richards,Amazing Spider-Man (1999) #658,Amazing Spider-Man (1999) #658 (THOR HOLLYWOOD VARIANT),Amazing Spider-Man (1999) #659,Amazing Spider-Man (1999) #660,Amazing Spider-Man (1999) #661,Amazing Spider-Man (1999) #661 (X-Men Art Variant),Deadpool (1997) #35,Doom (Trade Paperback),Doom: The Emperor Returns (2002) #1,Doom: The Emperor Returns (2002) #2,Doom: The Emperor Returns (2002) #3,Empyre: Fallout Fantastic Four  (2020) #1,Fantastic Five (1999) #1,Fantastic Five (2007) #1,Fantastic Five (2007) #2,Fantastic Five (1999) #2,Fantastic Five (2007) #3,Fantastic Five (1999) #3,Fantastic Five (2007) #4,Fantastic Five (1999) #4,,,,,,,,,,,,,,,
432,Franklin Storm,Fantastic Four (1961) #31,Fantastic Four (1961) #32,Fantastic Four (1998) #510,Fantastic Four Vol. 2 (Hardcover),Ultimate Fantastic Four (2003) #54,Ultimate Fantastic Four (2003) #55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Freak,Amazing Spider-Man (1999) #644 (BACHALO VARIANT),Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT),Iron Man (1968) #26,Iron Man (1968) #67,Amazing Spider-Man (1999) #553,Amazing Spider-Man (1999) #558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Frenzy,Age of X: Alpha (2010) #1,Uncanny X-Men Omnibus Vol. 1 (Hardcover),X-Factor (1986) #4,Uncanny X-Men (1963) #105,X-Men Legacy (2008) #248,X-Men Legacy (2008) #250,X-Men Legacy (2008) #254,X-Men Legacy (2008) #255,X-Men Legacy (2008) #258,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Frightful Four,Avengers (2016) #4.1,Fantastic Four (1998) #29,Fantastic Four (1961) #36,Fantastic Four (1961) #38,Fantastic Four (1961) #177,Fantastic Four (1961) #178,Fantastic Four (1961) #326,Fantastic Four (1961) #327,Fantastic Four (1961) #328,Fantastic Four (1961) #333,Fantastic Four (1961) #400,Fantastic Four (1998) #514,Fantastic Four (1998) #515,Fantastic Four (1998) #516,Fantastic Four Omnibus Vol. 2 (Hardcover),FANTASTIC FOUR VISIONARIES: GEORGE PEREZ VOL. 1 TPB (Trade Paperback),Fantastic Four Vol. 3 (Hardcover),Incredible Hulks (2010) #608 (VARIANT),Marvel Masterworks: The Fantastic Four Vol. 19 (Hardcover),,,,,,,,,,,,,,,,
436,Frog Thor,Alligator Loki Infinity Comic (2022) #21,Asgardians of the Galaxy (2018) #1,Asgardians of the Galaxy (2018) #2,Asgardians of the Galaxy (2018) #3,Asgardians of the Galaxy (2018) #4,Asgardians of the Galaxy (2018) #5,Asgardians of the Galaxy (2018) #6,Asgardians of the Galaxy (2018) #7,Asgardians of the Galaxy (2018) #8,Asgardians of the Galaxy (2018) #10,Asgardians Of The Galaxy Vol. 2: War Of The Realms (Trade Paperback),Avengers Vs. Pet Avengers (2010) #1,Avengers Vs. Pet Avengers (Graphic Novel),Avengers Vs. Pet Avengers (2010) #2,Avengers Vs. Pet Avengers (2010) #3,Avengers Vs. Pet Avengers (2010) #4,Lockjaw and the Pet Avengers (2009) #1,Lockjaw and the Pet Avengers (2009) #2,Lockjaw and the Pet Avengers (2009) #3,Lockjaw and the Pet Avengers (2009) #4,,,,,,,,,,,,,,,
437,Frog-Man,Spider-Island: Avengers (2011) #1,Spider-Man: New York Stories (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Gabe Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Galactus,Alpha Flight (1983) #10,Alpha Flight (1983) #100,Annihilation (2006) #1,Annihilation (2006) #5,Annihilation (2006) #6,Annihilation: Heralds of Galactus (2007) #1,Annihilation: Heralds of Galactus (2007) #2,Annihilation: Silver Surfer (2006) #2,Annihilation: Silver Surfer (2006) #3,Annihilation: Silver Surfer (2006) #4,Annihilation: The Complete Collection Vol. 1 (Trade Paperback),Avengers (2010) #4,Avengers (2010) #5,Avengers (1996) #12,Avengers (1963) #260,Avengers (1963) #261,Avengers Forever (1998) #10,Avengers Legends Vol. I: Avengers Forever (Trade Paperback),Bullet Points (Trade Paperback),Bullet Points (2006) #1,,,,,,,,,,,,,,,
440,Galia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Gambit,A+X (2012) #3,A+X (2012) #6,Age of X: Alpha (2010) #1,All-New Wolverine (2015) #17,All-New Wolverine (2015) #18,Astonishing X-Men (2017) #1,Astonishing X-Men (2017) #2,Astonishing X-Men (2017) #4,Astonishing X-Men (2017) #5,Astonishing X-Men (2017) #6,Astonishing X-Men (2017) #7,Astonishing X-Men (2017) #8,Astonishing X-Men (2017) #9,Astonishing X-Men (2004) #48,Astonishing X-Men (2004) #56,Astonishing X-Men (2004) #57,Astonishing X-Men (2004) #58,Astonishing X-Men (2004) #59,Astonishing X-Men (2004) #60,Astonishing X-Men (2004) #61,,,,,,,,,,,,,,,
442,Gamma Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Gamora,ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN TPB (Trade Paperback),All-New Guardians of the Galaxy Vol. 2: Riders in the Sky (Trade Paperback),All-New Guardians of the Galaxy Vol. 3: Infinity Quest (Trade Paperback),Annihilation (2006) #3,Annihilation: Ronan (2006) #2,Annihilation: Ronan (2006) #3,Annihilation: Ronan (2006) #4,Annihilation: The Nova Corps (2006) #1,Avengers Unlimited Infinity Comic (2022) #44,Avengers Unlimited Infinity Comic (2022) #48,Gamora (2016) #1,Gamora (2016) #2,Gamora (2016) #3,Gamora (2016) #4,Gamora (2016) #5,Guardians of the Galaxy (2013) #1,Guardians of the Galaxy (2013) #1 (Manara Variant),Guardians of the Galaxy (2013) #2,Guardians of the Galaxy (2015) #9,Guardians of the Galaxy (2015) #12,,,,,,,,,,,,,,,
444,Gamora (Marvel War of Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Gargoyle,Defenders (1972) #94,Defenders (1972) #132,Defenders (1972) #133,Defenders (1972) #134,Defenders (1972) #135,Defenders (1972) #136,Defenders (1972) #137,Gargoyle (1985) #1,Gargoyle (1985) #2,Gargoyle (1985) #3,Gargoyle (1985) #4,Heroes for Hire (2010) #9,Heroes for Hire (2010) #11,Marvel Fanfare (1982) #50,THOR: THE WORLD EATERS TPB (Trade Paperback),Ziggy Pig and Silly Seal Infinity Comic (2022) #4,Ziggy Pig and Silly Seal Infinity Comic (2022) #7,,,,,,,,,,,,,,,,,,
446,Gargoyle (Isaac Christians),Defenders (1972) #125,Universe X (2000),Universe X (2000) #1,Universe X (2000) #2,Universe X (2000) #3,Universe X (2000) #4,Universe X (2000) #5,Universe X (2000) #6,Universe X (2000) #7,Universe X (2000) #8,Universe X (2000) #9,Universe X (2000) #10,Universe X (2000) #11,Universe X (2000) #12,,,,,,,,,,,,,,,,,,,,,
447,Gargoyle (Yuri Topolov),Hulk Annual (1999) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Garia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Garrison Kane,Cable (1993) #37,Cable (1993) #38,Cable (1993) #39,Cable Classic Vol. 1 (Trade Paperback),Cable: Blood & Metal (1992) #1,Cable: Blood & Metal (1992) #2,Deadpool (1997) #57,Deadpool (1997) #58,Deadpool (1997) #59,Weapon X (2002) #1,Weapon X (2002) #4,Weapon X (2002) #5,Weapon X (2002) #7,Weapon X (2002) #9,WEAPON X VOL. 1: THE DRAFT TPB (Trade Paperback),Weapon X Vol. I (Trade Paperback),Weapon X: The Draft � Kane (2002) #1,Weapon X: The Draft � Marrow (2002) #1,Weapon X: The Draft � Sauron (2002) #1,,,,,,,,,,,,,,,,
450,Gateway,Uncanny X-Force (2010) #27,Uncanny X-Men (1963) #229,Uncanny X-Men (1963) #231,Uncanny X-Men (1963) #232,Uncanny X-Men (1963) #234,Uncanny X-Men (1963) #236,Uncanny X-Men (1963) #245,Uncanny X-Men (1963) #248,Uncanny X-Men (1963) #249,Uncanny X-Men (1963) #250,Uncanny X-Men (1963) #251,Uncanny X-Men (1963) #252,Uncanny X-Men (1963) #269,Wolverine (1988) #17,Wolverine (1988) #35,Wolverine (1988) #36,Wolverine (1988) #53,Wolverine (1988) #104,WOLVERINE CLASSIC VOL. 4 TPB (Trade Paperback),X-Men (1991) #49,,,,,,,,,,,,,,,
451,Gauntlet (Joseph Green),Age of Heroes (2010) #2,AGE OF HEROES TPB (Trade Paperback),Avengers: The Initiative (2007) #2,Avengers: The Initiative (2007) #4,Avengers: The Initiative (2007) #6,Avengers: The Initiative (2007) #7,Avengers: The Initiative (2007) #9,Avengers: The Initiative (2007) #10,Avengers: The Initiative (2007) #15,Avengers: The Initiative (2007) #20,Avengers: The Initiative (2007) #21,Avengers: The Initiative (2007) #22,Avengers: The Initiative (2007) #23,Avengers: The Initiative (2007) #24,Avengers: The Initiative (2007) #25,Avengers: The Initiative (2007) #27,Avengers: The Initiative (2007) #27 (70TH FRAME VARIANT),Avengers: The Initiative (2007) #33,Avengers: The Initiative (2007) #33 (DEADPOOL VARIANT),Avengers: The Initiative (2007) #35,,,,,,,,,,,,,,,
452,Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Gene Sailors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Generation X,Counter X Vol. 2 (Trade Paperback),Generation X (1994) #-1,Generation X (2017) #1,Generation X (1994) #1,Generation X (1994) #2,Generation X (2017) #2,Generation X (2017) #3,Generation X (1994) #3,Generation X (2017) #4,Generation X (1994) #4,Generation X (1994) #5,Generation X (2017) #5,Generation X (1994) #6,Generation X (2017) #6,Generation X (2017) #7,Generation X (1994) #7,Generation X (2017) #8,Generation X (1994) #8,Generation X (2017) #9,Generation X (1994) #9,,,,,,,,,,,,,,,
455,Genesis,Uncanny X-Force (2010) #26,Wolverine (1988) #95,Wolverine (1988) #99,Wolverine (1988) #100,Wolverine & the X-Men (2011) #6,Wolverine & the X-Men (2011) #7,Wolverine & the X-Men (2011) #8,Wolverine & the X-Men (2011) #9,Wolverine & the X-Men (2011) #10,Wolverine & the X-Men (2011) #11,Wolverine & the X-Men (2011) #12,Wolverine & the X-Men (2011) #13,Wolverine & the X-Men (2011) #14,Wolverine & the X-Men (2011) #15,Wolverine & the X-Men (2011) #16,Wolverine & the X-Men (2011) #19,,,,,,,,,,,,,,,,,,,
456,Genis-Vell,Captain Marvel (2000) #16,Genis-Vell: Captain Marvel (2022) #1,Genis-Vell: Captain Marvel (2022) #2,Genis-Vell: Captain Marvel (2022) #3,Genis-Vell: Captain Marvel (2022) #4,Genis-Vell: Captain Marvel (2022) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,George Stacy (Ultimate),Ultimate Spider-Man (2000) #5,Ultimate Spider-Man (2000) #15,Ultimate Spider-Man (2000) #16,Ultimate Spider-Man (2000) #23,Ultimate Spider-Man Ultimate Collection Book 1 (Trade Paperback),Ultimate Spider-Man Vol. 1: Power & Responsibility (Trade Paperback),Ultimate Spider-Man Vol. 3: Double Trouble (Trade Paperback),Ultimate Spider-Man Vol. III: Double Trouble (Trade Paperback),ULTIMATE SPIDER-MAN VOL. 4: LEGACY TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,
458,Gertrude Yorkes,Civil War: Young Avengers & Runaways (2006) #1,Civil War: Young Avengers & Runaways (2006) #2,Civil War: Young Avengers & Runaways (2006) #3,Civil War: Young Avengers & Runaways (2006) #4,Runaways (2017) #1,Runaways (2017) #2,Runaways (2017) #3,Runaways (2005) #4,Runaways (2005) #15,Runaways (2005) #18,Runaways (2005) #27,Runaways (2017) #36,Runaways by Rainbow Rowell Vol. 1: Find Your Way Home (Trade Paperback),RUNAWAYS VOL. 4: TRUE BELIEVERS DIGEST (Digest),,,,,,,,,,,,,,,,,,,,,
459,Ghost Rider (Daniel Ketch),Absolute Carnage: Symbiote Of Vengeance (2019) #1,Amazing Spider-Man (1999) #659,Amazing Spider-Man (1999) #659 (2nd Printing Variant),Amazing Spider-Man (1999) #660,Darkhold: Pages from the Book of Sins (1992) #1,Fear Itself (2010) #1,Fear Itself (2010) #1 (Ff 50th Anniversary Variant),Fear Itself (2010) #1 (Blank Cover Variant),Fear Itself (2010) #1 (Immomen Variant),Fear Itself (2010) #1 (Comicspro Variant),Fear Itself (2010) #1 (Variant B),Fear Itself (2010) #1 (2nd Printing Variant),Ghost Rider (2005) #1,Ghost Rider (1990) #1,Ghost Rider (1990) #2,Ghost Rider (2005) #2,Ghost Rider (2019) #2,Ghost Rider (1990) #3,Ghost Rider (2005) #3,Ghost Rider (1990) #4,,,,,,,,,,,,,,,
460,Ghost Rider (Johnny Blaze),Age of X: Universe (2011) #1,Amazing Spider-Man/Ghost Rider - Motorstorm (Trade Paperback),Avengers (2018) #22,Avengers (2018) #23,Avengers (2018) #24,Avengers (2018) #25,Avengers (1998) #27,Avengers (2018) #52,Avengers (1963) #214,Avengers Assemble Vol. 3 (Hardcover),Blade: First Bite Infinity Comic (2023) #2,Captain America and Bucky (2011) #640,Captain Universe: Universal Heroes (Trade Paperback),Champions (1975) #1,Champions (1975) #2,Champions (1975) #3,Champions (1975) #4,Champions (1975) #7,Champions (1975) #8,Champions (1975) #10,,,,,,,,,,,,,,,
461,Ghost Rider (Marvel War of Heroes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Ghost Rider (Robbie Reyes),Ghost Rider X-Mas Special Infinite Comic (2016) #1,Avengers (2018) #1,Avengers (2018) #6,Avengers (2018) #15,Avengers (2018) #22,Avengers (2018) #23,Avengers (2018) #24,Avengers (2018) #25,Avengers (2018) #35,Avengers (2018) #50,Avengers (2018) #51,Avengers Forever (2021) #2,Avengers Forever (2021) #3,Edge Of Venomverse (Trade Paperback),Edge of Venomverse (2017) #3,Ghost Rider (2016) #1,GHOST RIDER: FOUR ON THE FLOOR TPB (Trade Paperback),Marvel Cinematic Universe Guidebook: It's All Connected (Hardcover),Marvel Legacy (2017) #1,Marvel Legacy (Hardcover),,,,,,,,,,,,,,,
463,Giant Girl,Marvel Adventures the Avengers (2006) #20,Marvel Adventures the Avengers (2006) #22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Giant Man,Amazing Spider-Man (1999) #661,Amazing Spider-Man (1999) #692,Amazing Spider-Man Annual (1964) #1,Amazing Spider-Man Annual (2010) #37,Ant-Man/Giant-Man Epic Collection: Ant-Man No More (Trade Paperback),Avengers (1963) #2,Avengers (1963) #28,Avengers (1998) #82,Avengers (1998) #83,Avengers (1998) #84,Avengers (1963) #371,Avengers (1963) #373,Avengers (1963) #375,Avengers Academy (2010) #7,Avengers Academy (2010) #10,Avengers Academy (2010) #11,Avengers Academy (2010) #16,Avengers Academy (2010) #20,Avengers Academy (2010) #21,Avengers Academy (2010) #22,,,,,,,,,,,,,,,
465,Giant-dok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Giant-Man (Ultimate),Avengers (2010) #34,MARVEL MASTERWORKS: THE AVENGERS VOL. 3 TPB (Trade Paperback),Secret Defenders (1993) #18,Ultimate Adventures (2002) #1,Ultimate Adventures (2002) #2,Ultimate Adventures (2002) #4,Ultimate Adventures (2002) #5,Ultimate Adventures (2002) #6,Ultimate Adventures Vol. 1: One Tin Soldier (Trade Paperback),Ultimate Adventures Vol. I (Trade Paperback),Ultimates 2 (2004) #7,Ultimates 2 (2004) #13,ULTIMATES 2 VOL. 2: GRAND THEFT AMERICA TPB (Trade Paperback),Ultimates 3 (2007) #1,Ultimates 3 (2007) #1 (Gatefold Variant),Ultimates 3 (2007) #2,Ultimates 3 (2007) #2,Ultimates 3 (2007) #4,Ultimates 3 (2007) #5,Ultimates 3: Who Killed the Scarlet Witch? (Trade Paperback),,,,,,,,,,,,,,,
467,Gideon,Cable (2017) #153,Cable (2017) #154,Cable & X-Force: Onslaught Rising (Trade Paperback),Cable Vol. 2: The Newer Mutants (Trade Paperback),Fantastic Four (1961) #34,Fantastic Four Omnibus Vol. 2 (Hardcover),New Mutants 98 Facsimile Edition (2019) #1,New Warriors (1990) #19,Nick Fury, Agent of S.H.I.E.L.D. (1989) #46,Nick Fury, Agent of S.H.I.E.L.D. (1989) #47,Night Thrasher: Four Control (1992) #3,X-Factor Annual (1986) #6,X-Force (1991) #3,X-Force (1991) #4,X-Force (1991) #6,X-Force (1991) #10,X-Force (1991) #12,X-Force (1991) #14,X-Force (1991) #15,X-Force (1991) #23,,,,,,,,,,,,,
468,Gilgamesh,Avengers (1963) #301,Avengers (1963) #308,Avengers (1963) #309,Avengers (1963) #391,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #1,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #2,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #3,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #4,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #7,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #9,Eternals by Gaiman & Romita Jr. Infinity Comic (2022) #11,Incredible Hercules (2008) #116,,,,,,,,,,,,,,,,,,,,,,,
469,Git Hoskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
